id,level_id,total_time,donuts,candy,level,progress,id Quizo,nbr Items,badge المثابرة,التركيز,النجاح,التميز,الإرتقاء,total_Time_Education,nb_mistakes,correct Question,correct_Q_Math,correct_Q_Science,correct_Q_Ar,correct_Q_Fr,Q_Best_Time,best_time_math,best_time_science,best_time_ar,best_time_fr,Q_Worst_Time,worst_time_math,worst_time_science,worst_time_ar,worst_time_fr,Q_Avg_Time,Avg_Time_math,Avg_Time__science,Avg_Time_ar,Avg_Time_fr
62702,3,0:24:01,21,350,1,0,41533,1,2,5,4,1,,7525,25,21,21,0,0,0,3,3,0,0,0,2,2,0,0,0,16,16,0,0,0
62707,5,0:10:52,6,350,1,0,NULL,0,1,3,0,1,,2345,1,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,0
62709,3,0:24:11,25,350,1,0,NULL,0,2,5,3,2,,6720,39,15,0,15,0,0,3,0,3,0,0,2,0,2,0,0,10,0,10,0,0
62711,8,0:06:58,6,0,1,0,41538,1,1,2,0,0,,1673,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
62720,6,0:17:15,22,350,1,0,NULL,0,2,8,2,4,,11648,45,33,3,8,0,0,1,0,1,0,0,1,1,0,0,0,31,2,7,0,0
62721,4,1:48:24,57,350,1,0,NULL,0,5,7,4,2,,32088,147,49,40,9,0,0,9,9,0,0,0,13,7,6,0,0,27,24,3,0,0
62723,7,2:40:54,140,1498,3,0.7999998927,41546,4,7,7,7,2,2,50372,141,118,120,21,0,0,8,7,1,0,0,10,10,0,0,0,100,103,20,0,0
62725,3,0:14:21,9,350,1,0,NULL,0,1,4,1,2,,5152,2,9,9,0,0,0,0,0,0,0,0,3,3,0,0,0,6,6,0,0,0
62728,7,0:04:16,6,350,1,0,NULL,0,0,2,1,1,,994,1,6,6,0,0,0,3,3,0,0,0,0,0,0,0,0,3,3,0,0,0
62729,4,0:37:19,40,350,1,0,NULL,0,3,5,4,2,,11102,35,40,40,0,0,0,11,11,0,0,0,4,4,0,0,0,25,25,0,0,0
62735,3,0:28:13,35,350,1,0,NULL,0,2,3,1,5,,8918,17,20,10,10,0,0,0,0,0,0,0,3,1,2,0,0,17,9,8,0,0
62737,3,0:21:27,13,350,1,0,NULL,0,2,5,2,2,,7805,9,13,13,0,0,0,0,0,0,0,0,4,4,0,0,0,9,9,0,0,0
62743,3,0:07:06,6,350,1,0,41559,1,0,2,1,1,,1890,7,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0
62745,8,0:13:36,6,350,1,0,NULL,0,1,3,1,1,,4137,4,6,6,0,0,0,0,0,0,0,0,3,3,0,0,0,3,3,0,0,0
62749,3,0:44:00,47,350,1,0,NULL,0,3,7,4,7,,11060,34,29,14,15,0,0,6,4,2,0,0,2,1,1,0,0,21,9,12,0,0
62759,6,0:28:30,32,350,1,0,NULL,0,2,5,2,2,,7126,36,19,6,13,0,0,4,0,4,0,0,1,0,1,0,0,14,6,8,0,0
62765,7,0:15:03,22,350,1,0,NULL,0,1,4,4,4,,4452,4,22,22,0,0,0,3,3,0,0,0,0,0,0,0,0,19,19,0,0,0
62769,5,0:43:37,36,350,1,0,NULL,0,3,6,2,2,,11207,40,33,28,0,3,2,2,2,0,0,0,0,0,0,0,0,31,26,0,3,2
62771,3,0:13:26,13,350,1,0,NULL,0,1,3,2,1,,3542,17,13,13,0,0,0,2,2,0,0,0,1,1,0,0,0,10,10,0,0,0
62785,5,0:02:48,4,350,1,0,NULL,0,0,0,0,0,,826,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0
62787,3,0:06:18,8,350,1,0,NULL,0,0,2,1,1,,1911,5,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0
62791,5,0:01:25,1,350,1,0,NULL,0,0,0,0,0,,336,0,4,4,0,0,0,3,3,0,0,0,0,0,0,0,0,1,1,0,0,0
62793,4,0:18:15,10,350,1,0,NULL,0,1,3,1,1,,5033,7,8,2,6,0,0,0,0,0,0,0,1,1,0,0,0,7,1,6,0,0
62795,4,0:18:09,14,350,1,0,NULL,0,2,4,1,2,,5551,14,11,7,4,0,0,0,0,0,0,0,2,2,0,0,0,9,5,4,0,0
62797,3,0:03:54,13,350,1,0,NULL,0,0,1,1,4,,1057,1,6,6,0,0,0,2,2,0,0,0,0,0,0,0,0,4,4,0,0,0
62802,3,0:01:08,1,350,1,0,NULL,0,0,0,0,0,,175,0,1,9,0,0,0,8,8,0,0,0,0,0,0,0,0,-7,1,0,0,0
62804,3,0:45:22,65,2175,2,0,41590,1,3,6,4,6,1,12348,18,33,18,15,0,0,3,0,3,0,0,0,0,0,0,0,30,18,12,0,0
62809,3,0:00:39,1,350,1,0,NULL,0,0,0,0,0,,91,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
62813,3,0:01:17,1,350,1,0,NULL,0,0,1,0,0,,182,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
